school_name,web_domain,type,last_visited,status,sources,years_registered
Brooklyn Adult Learning Center,balc.school,k-12,2026-09-13,Inaccessible,osm:US-NYC,6
Brooklyn Adult Learning Center,brooklynadultlearning.center,k-12,2026-09-13,Active,redirect:balc.school,3
Democracy Prep Harlem High School,democracyprep.org,k-12,2026-09-13,Inaccessible,osm:US-NYC,21
Advanced Education in Financial Management and Administration,ensup-afrique.com,university/college,2026-09-13,Inaccessible,whed:IAU-024612,5
Føroya Læraraskúli,flsk.fo,university/college,2026-09-13,Inaccessible,wikidata:P856,
2IM - International Institute of Management,groupe2im.com,university/college,2026-09-13,Active,whed:IAU-008002,7
Harlem Link Charter School,harlemlink.org,k-12,2026-09-13,Inaccessible,osm:US-NYC,22
Hounslow Heath Infant and Nursery School,hhin.org,k-12,2026-09-13,Inaccessible,osm:GB-London,0
I.S. 347 - School of Humanities,is347k.com,k-12,2026-09-13,Inaccessible,osm:US-NYC,1
P.S. 156 - Waverly School of the Arts,k156.org,k-12,2026-09-13,Active,osm:US-NYC,11
Little Heath School,lheath.net,k-12,2026-09-13,Inaccessible,osm:GB-London,21
P.S. 185 - The Locke School of Arts and Engineering,lockearts.org,k-12,2026-09-13,Inaccessible,osm:US-NYC,8
Mott Haven Village Preparatory High School,motthavenvillage.com,k-12,2026-09-13,Active,osm:US-NYC,2
M.S. 356Q - Community Voices Middle School,ms356covo.org,k-12,2026-09-13,Inaccessible,osm:US-NYC,9
M.S. 447 - The Exploratory School,ms447.org,k-12,2026-09-13,Active,osm:US-NYC,19
P.S. 124 - Yung Wing Elementary School,ps124m.org,k-12,2026-09-13,Inaccessible,osm:US-NYC,8
P.S. 198M - Isidor & Ida Straus School,ps198m.org,k-12,2026-09-13,Active,osm:US-NYC,15
P.S. 59 - Beekman Hill International School,ps59.net,k-12,2026-09-13,Active,osm:US-NYC,21
P.S. 9 - The Sarah Anderson School,ps9.org,k-12,2026-09-13,Active,osm:US-NYC,21
Rose of York Language School,roseofyork.com,university/college,2026-09-13,Active,osm:GB-London,10
Saint Anslem School,stanselmbx.org,k-12,2026-09-13,Active,osm:US-NYC,26
St Martin's Church of England Junior School,stmartinsepsom.school,k-12,2026-09-13,Active,osm:GB-London,9
The Summit School,summitqueens.com,k-12,2026-09-13,Active,osm:US-NYC,17
Mount Stewart Junior School,tmss.org.uk,k-12,2026-09-13,Active,osm:GB-London,9
