school_name,web_domain,type,last_visited,status,sources,years_registered,confidence,reason,final_domain,language
Akademi Kebidanan Karya Bunda Husada,akbid-kbh.org,university/college,2026-09-15,Inaccessible,osm:ID-Jakarta,,,,,
Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,akfarmitseda.ac.id,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,11,5,http-403,akfarmitseda.ac.id,
Institut Sains & Teknologi Akprind,akprind.ac.id,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,26,5,http-403,akprind.ac.id,
STMIK AMIKOM Yogyakarta,amikom.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,26,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,home.amikom.ac.id,en-us
Universitas Katolik Indonesia Atma Jaya,atmajaya.ac.id,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,28,40,low-confidence:http-2xx-html+multi-source+trusted-suffix+non-educational-content,atmajaya.ac.id,en
Universitas Bakrie,bakrie.ac.id,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,19,5,http-403,bakrie.ac.id,
Binus University,binus.ac.id,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,28,0,fetch-error:ReadTimeout,binus.ac.id,
Universitas HKBP Nommensen,bmkgungaran.com,university/college,2026-09-25,Active,redirect:nommensen.org,0,60,http-2xx-html+edu-keywords+structure+substantial-content,bmkgungaran.com,
Bina Sarana Informatika,bsi.ac.id,university/college,2026-09-15,Active,osm:ID-Jakarta,27,,,,
Universitas Bung Hatta,bunghatta.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,16,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,bunghatta.ac.id,id
Universitas Dian Nuswantoro,dinus.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,26,100,http-2xx-html+multi-source+schema.org-edu+edu-keywords+structure+substantial-content,dinus.ac.id,en
Dumet school,dumetschool.com,k-12,2026-09-15,Active,osm:ID-Jakarta,13,,,,
Flybest,flybest.co.id,k-12,2026-09-15,Active,osm:ID-Jakarta,14,,,,
Genesis Medicare School,genesismedicareschool.com,k-12,2026-09-15,Inaccessible,osm:ID-Jakarta,,,,,
Universitas Gunadarma,gunadarma.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,28,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,gunadarma.ac.id,en-us
Universitas Hang Tuah,hangtuah.ac.id,university/college,2026-09-18,Inaccessible,osm:ID-Surabaya,25,,,,
Universitas Ibn Chaldun Jakarta,ibnuchaldun.ac.id,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,14,0,fetch-error:ConnectionError,ibnuchaldun.ac.id,
Universitas Indonusa Esa Unggul,indonusa.ac.id,university/college,2026-09-25,Inaccessible,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,,0,fetch-error:ConnectionError,indonusa.ac.id,
Bogor Agricultural University,ipb.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;openalex:page47;hipo:2026-09-23;hipo:2026-09-24,28,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ipb.ac.id,id-id
Trisakti Institute of Tourism,iptrisakti.ac.id,university/college,2026-09-15,Inaccessible,whed:IAU-000511,3,,,,
Institut Sains dan Teknologi Al Kamal,ista.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,27,90,http-2xx-html+multi-source+edu-keywords+trusted-suffix+substantial-content,ista.ac.id,en
Institut Teknologi Adhi Tama Surabaya,itats.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,26,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,itats.ac.id,en-us
Institut Teknologi Bandung,itb.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,31,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,itb.ac.id,id-id
Institut Teknologi Sepuluh Nopember,its.ac.id,university/college,2026-09-25,Active,hipo:2026-09-17;hipo:2026-09-18;hipo:2026-09-19;hipo:2026-09-20;hipo:2026-09-21;hipo:2026-09-22;hipo:2026-09-23;hipo:2026-09-24,28,90,http-2xx-html+multi-source+edu-keywords+structure+substantial-content,its.ac.id,id-id
International University Liaison Indonesia,iuli.ac.id,university/college,2026-09-15,Active,osm:ID-Jakarta,13,,,,
