school_name,web_domain,type,last_visited,status,sources,years_registered
Allgemeine Berufsschule Zürich,a-b-z.ch,university/college,2026-09-16,Active,ror:api-p12,
Allgemeine Gewerbeschule Basel,agsbs.ch,university/college,2026-09-16,Inaccessible,ror:api-p12,
BFF Bern,bffbern.ch,university/college,2026-09-16,Active,ror:api-p12,
Berufsfachschule Winterthur,bfs-winterthur.ch,university/college,2026-09-15,Inaccessible,wikidata:P856,
Berufsfachschule Winterthur,bfs.zh.ch,university/college,2026-09-15,Active,redirect:bfs-winterthur.ch,
École Polytechnique Fédérale de Lausanne,epfl.ch,university/college,2026-09-16,Active,openalex:page11,
ETH Zurich,ethz.ch,university/college,2026-09-14,Active,openalex:page6,
Formation Continue UNIL-EPFL,formation-continue-unil-epfl.ch,university/college,2026-09-16,Active,ror:api-p12,
Gymnasien Kirchenfeld,gymkirchenfeld.ch,university/college,2026-09-16,Active,ror:api-p12,
Kantonsschule Baden,kanti-baden.ch,university/college,2026-09-16,Inaccessible,ror:api-p12,
Kantonsschule Sargans,kantisargans.ch,university/college,2026-09-16,Active,ror:api-p11,
Kantonsschule Enge,ken.ch,university/college,2026-09-16,Active,ror:api-p11,
Kantonsschule Alpenquai Luzern,ksalpenquai.lu.ch,university/college,2026-09-16,Active,ror:api-p12,
Liceo Cantonale,liceolocarno.ch,university/college,2026-09-16,Inaccessible,ror:api-p11,
École Secondaire de Nyon Marens,nyon-marens.ch,university/college,2026-09-16,Active,ror:api-p12,
Scuola Cantonale di Commercio Bellinzona,sccbellinzona.ch,university/college,2026-09-16,Inaccessible,ror:api-p12,
Scuola Cantonale di Commercio Bellinzona,sccbellinzona.ti.ch,university/college,2026-09-16,Inaccessible,redirect:sccbellinzona.ch,
Technische Fachschule Bern,tfbern.ch,university/college,2026-09-16,Active,ror:api-p12,
Theologische Hochschule Chur,thchur.ch,university/college,2026-09-15,Active,ror:api-p1,
University of Zurich,uzh.ch,university/college,2026-09-15,Active,openalex:page8,
Etablissement Primaire et Secondaire Vevey,vevey-eps.ch,university/college,2026-09-16,Active,ror:api-p12,
