school_name,web_domain,type,last_visited,status,sources,years_registered
Albanian University,albanianuniversity.edu.al,university/college,2026-09-13,Active,deqar:2026-09-13,
"""EPOKA"" University",epoka.edu.al,university/college,2026-09-13,Active,deqar:2026-09-13,
Professional College of Tirana,kolegjiprofesional.edu.al,university/college,2026-09-13,Inaccessible,deqar:2026-09-13,
University College of Business,kub.edu.al,university/college,2026-09-13,Active,deqar:2026-09-13,
Luarasi University,luarasi-univ.edu.al,university/college,2026-09-13,Active,deqar:2026-09-13,
Nehemiah Gateway Academy,ng-university.org,university/college,2026-09-13,Active,deqar:2026-09-13,14
Security Academy,scesa.al,university/college,2026-09-13,Inaccessible,deqar:2026-09-13,
Academy of Armed Forces,tradoc.mil.al,university/college,2026-09-13,Inaccessible,deqar:2026-09-13,
"""Aleksandër Moisiu"" University, Durres",uamd.edu.al,university/college,2026-09-13,Inaccessible,deqar:2026-09-13,
University of Arts,uart.edu.al,university/college,2026-09-13,Inaccessible,deqar:2026-09-13,
"""Barleti"" University",umb.edu.al,university/college,2026-09-15,Active,deqar:2026-09-13,
"University of Medicine, Tirana",umed.edu.al,university/college,2026-09-15,Active,deqar:2026-09-13,
Mediterranean University of Albania,umsh.edu.al,university/college,2026-09-14,Inaccessible,deqar:2026-09-13,
"Tirana Metropolitan University, PHEI",umt.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
"University of Elbasan, Aleksander Xhuvani",uniel.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
"University College ""Pavarësia Vlorë""",unipavaresia.edu.al,university/college,2026-09-14,Inaccessible,deqar:2026-09-13,
"University College ""REALD""",unireald.edu.al,university/college,2026-09-14,Inaccessible,deqar:2026-09-13,
"University of Shkodra ""Luigj Gurakuqi""",unishk.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
University of Tirana,unitir.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
Polis University,universitetipolis.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
"University of Vlora, ""Ismail Qemali""",univlora.edu.al,university/college,2026-09-14,Inaccessible,deqar:2026-09-13,
Catholic University Lady of Good Counsel,unizkm.al,university/college,2026-09-14,Inaccessible,deqar:2026-09-13,
"""Fan. S. Noli"" University",unkorce.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
"University of New York, Tirana",unyt.edu.al,university/college,2026-09-14,Inaccessible,deqar:2026-09-13,
"""Eqrem Çabej"" University of Gjirokastra",uogj.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
University of Sports of Tirana,ust.edu.al,university/college,2026-09-14,Active,deqar:2026-09-13,
Universiteti Wisdom,wisdom.edu.al,university/college,2026-09-15,Inaccessible,wikidata:P856,
University College WISDOM,wisdomuniversity.eu,university/college,2026-09-14,Inaccessible,deqar:2026-09-13,
